# Posiciones articulares (matriz) del PSM derecho
# Trial JIGSAWS: Needle_Passing_B003  (3238 frames @ 30 Hz)
# q1-q2-q4-q5-q6-q7 en grados; q3 (insercion) en metros
# IK=0 marca frames sin solucion valida (se conserva la
# ultima configuracion valida; en la animacion salen en rojo)
# modo de mapeo del gripper: crudo
# IK OK 100.00 %, error mediana 0.00000 mm, maximo 0.00100 mm, margen minimo 0.5193
#  frame      t(s)  gesto   IK  sat     q1(deg)    q2(deg)      q3(m)    q4(deg)    q5(deg)    q6(deg)    q7(deg)    err(mm)
       1    0.0000      -    1    0     -9.0681    -6.0139   0.110413    11.7510   -18.8324     1.7813     0.0000    0.00018
       2    0.0333      -    1    0     -9.0190    -6.0207   0.110431    11.8660   -18.8160     1.6344     0.0000    0.00008
       3    0.0667      -    1    0     -9.0116    -6.0098   0.110466    11.9062   -18.8276     1.5854     0.0000    0.00001
       4    0.1000      -    1    0     -8.9960    -5.9850   0.110545    12.0025   -18.8545     1.4694     0.0000    0.00003
       5    0.1333      -    1    0     -8.9579    -5.9780   0.110551    12.1268   -18.8316     1.4775     0.0000    0.00005
       6    0.1667      -    1    0     -8.9433    -5.9890   0.110534    12.2075   -18.7920     1.5525     0.0000    0.00005
       7    0.2000      -    1    0     -8.9367    -5.9949   0.110512    12.2343   -18.7852     1.5192     0.0000    0.00001
       8    0.2333      -    1    0     -8.9027    -6.0430   0.110446    12.2729   -18.5550     1.4244     0.0000    0.00022
       9    0.2667      -    1    0     -8.8769    -6.0562   0.110417    12.3188   -18.5428     1.3650     0.0000    0.00004
      10    0.3000      -    1    0     -8.8763    -6.0646   0.110422    12.3535   -18.5334     1.3331     0.0000    0.00001
      11    0.3333      -    1    0     -8.8818    -6.0891   0.110434    12.4236   -18.5072     1.2767     0.0000    0.00003
      12    0.3667      -    1    0     -8.8745    -6.0941   0.110438    12.4785   -18.5009     1.2168     0.0000    0.00002
      13    0.4000      -    1    0     -8.8690    -6.0937   0.110437    12.5110   -18.5010     1.1782     0.0000    0.00001
      14    0.4333      -    1    0     -8.8553    -6.1498   0.110440    12.5487   -18.2523     1.1090     0.0000    0.00019
      15    0.4667      -    1    0     -8.8525    -6.2089   0.110494    12.5980   -18.1969     1.1009     0.0000    0.00007
      16    0.5000      -    1    0     -8.8540    -6.2772   0.110527    12.6715   -18.1157     1.0686     0.0000    0.00009
      17    0.5333      -    1    0     -8.8553    -6.3004   0.110532    12.7046   -18.0887     1.0484     0.0000    0.00001
      18    0.5667      -    1    0     -8.8521    -6.3098   0.110533    12.7622   -18.0782     0.9902     0.0000    0.00002
      19    0.6000      -    1    0     -8.8486    -6.3057   0.110531    12.8335   -18.0847     0.9084     0.0000    0.00002
      20    0.6333      -    1    0     -8.8449    -6.3061   0.110528    12.8709   -18.0844     0.8656     0.0000    0.00001
      21    0.6667      -    1    0     -8.8374    -6.3084   0.110518    12.9329   -18.0820     0.7939     0.0000    0.00002
      22    0.7000      -    1    0     -8.8312    -6.3095   0.110510    12.9933   -18.0810     0.7247     0.0000    0.00002
      23    0.7333      -    1    0     -8.8351    -6.3077   0.110514    13.0234   -18.0849     0.6941     0.0000    0.00001
      24    0.7667      -    1    0     -8.8138    -6.3450   0.110496    12.6692   -17.8229     0.7538     0.0000    0.00000
      25    0.8000      -    1    0     -8.8139    -6.3447   0.110499    12.6901   -17.8387     0.7351     0.0000    0.00000
      26    0.8333      -    1    0     -8.8133    -6.3461   0.110493    12.7184   -17.8384     0.7043     0.0000    0.00001
      27    0.8667      -    1    0     -8.8101    -6.3449   0.110495    12.7418   -17.8397     0.6770     0.0000    0.00001
      28    0.9000      -    1    0     -8.8093    -6.3430   0.110499    12.7900   -17.8431     0.6241     0.0000    0.00001
      29    0.9333      -    1    0     -8.8052    -6.3431   0.110495    12.8483   -17.8439     0.5581     0.0000    0.00002
      30    0.9667      -    1    0     -8.7903    -6.3766   0.110474    12.8719   -17.6300     0.4863     0.0000    0.00015
      31    1.0000      -    1    0     -8.7889    -6.3795   0.110472    12.8774   -17.6315     0.4801     0.0000    0.00000
      32    1.0333      -    1    0     -8.7910    -6.3804   0.110478    12.8825   -17.6376     0.4790     0.0000    0.00000
      33    1.0667      -    1    0     -8.7920    -6.3805   0.110476    12.9089   -17.6388     0.4510     0.0000    0.00001
      34    1.1000      -    1    0     -8.7929    -6.3854   0.110483    12.9349   -17.6336     0.4273     0.0000    0.00001
      35    1.1333      -    1    0     -8.7871    -6.4258   0.110514    12.6337   -17.5472     0.5028     0.0000    0.00018
      36    1.1667      -    1    0     -8.7914    -6.4644   0.110540    12.6779   -17.5015     0.4847     0.0000    0.00003
      37    1.2000      -    1    0     -8.8099    -6.4747   0.110546    12.6785   -17.4650     0.6715     0.0000    0.00006
      38    1.2333      -    1    0     -8.8446    -6.5152   0.110563    11.5952   -17.1820     1.7285     0.0000    0.00000
      39    1.2667      -    1    0     -8.9569    -6.5766   0.110540    11.1629   -16.8345     3.3486     0.0000    0.00000
      40    1.3000      -    1    0     -9.0160    -6.5846   0.110503    10.9979   -16.7040     4.2299     0.0000    0.00000
      41    1.3333      -    1    0     -9.0256    -6.5884   0.110490    10.9438   -16.6672     4.4617     0.0000    0.00010
      42    1.3667      -    1    0     -9.0286    -6.5743   0.110500    10.9743   -16.8169     4.6465     0.0000    0.00012
      43    1.4000      -    1    0     -8.9959    -6.5716   0.110545    11.0476   -16.7466     4.8895     3.2416    0.00018
      44    1.4333      -    1    0     -8.9774    -6.5761   0.110576    11.0877   -16.6736     5.1797     6.7126    0.00018
      45    1.4667      -    1    0     -8.9439    -6.5848   0.110667    11.1632   -16.5290     5.7650    11.7180    0.00000
      46    1.5000      -    1    0     -8.8945    -6.5576   0.110735    11.2281   -16.5195     5.8243    14.5715    0.00010
      47    1.5333      -    1    0     -8.8548    -6.5219   0.110737    11.3037   -16.5579     5.6972    16.1527    0.00007
      48    1.5667      -    1    0     -8.8465    -6.5182   0.110723    11.3441   -16.5634     5.6435    16.3959    0.00002
      49    1.6000      -    1    0     -8.8540    -6.5082   0.110693    11.3904   -16.5818     5.5866    16.5550    0.00002
      50    1.6333      -    1    0     -8.8562    -6.4975   0.110679    11.4216   -16.5981     5.5451    16.5831    0.00001
      51    1.6667      -    1    0     -8.8544    -6.4908   0.110676    11.4429   -16.6073     5.5164    16.5831    0.00001
      52    1.7000      -    1    0     -8.8518    -6.4851   0.110680    11.4847   -16.6158     5.4663    16.6111    0.00001
      53    1.7333      -    1    0     -8.8466    -6.4687   0.110672    11.5288   -16.6376     5.4038    16.9667    0.00002
      54    1.7667      -    1    0     -8.8415    -6.4305   0.110653    11.5388   -16.6846     5.3643    17.3128    0.00004
      55    1.8000      -    1    0     -8.8533    -6.4136   0.110645    11.5417   -16.6772     5.5257    17.6496    0.00005
      56    1.8333      -    1    0     -8.8516    -6.3461   0.110643    11.5412   -16.7602     5.4835    18.3700    0.00007
      57    1.8667      -    1    0     -8.8578    -6.2959   0.110613    11.5484   -16.7939     5.6127    18.9688    0.00007
      58    1.9000      -    1    0     -8.8649    -6.2648   0.110581    11.5492   -16.8035     5.7637    19.7079    0.00006
      59    1.9333      -    1    0     -8.8838    -6.1975   0.110474    11.5680   -16.7737     6.3580    20.8961    0.00062
      60    1.9667      -    1    0     -8.9082    -6.1309   0.110390    11.1876   -16.6629     7.1413    21.1581    0.00000
      61    2.0000      -    1    0     -8.9216    -6.0687   0.110340    11.1588   -16.6803     7.4703    20.9429    0.00023
      62    2.0333      -    1    0     -8.9130    -6.0476   0.110324    11.1726   -16.7058     7.4340    21.0832    0.00002
      63    2.0667      -    1    0     -8.9026    -6.0552   0.110321    10.8633   -16.6202     7.4891    21.2422    0.00017
      64    2.1000      -    1    0     -8.9018    -6.0675   0.110327    10.9041   -16.6072     7.4513    21.4107    0.00001
      65    2.1333      -    1    0     -8.8903    -6.0700   0.110318    10.5696   -16.5263     7.5295    21.4949    0.00017
      66    2.1667      -    1    0     -8.8785    -6.0693   0.110318    10.2686   -16.4511     7.5697    21.4106    0.00015
      67    2.2000      -    1    0     -8.8825    -6.0690   0.110330    10.2983   -16.4541     7.5412    21.1487    0.00001
      68    2.2333      -    1    0     -8.8827    -6.0601   0.110323    10.3178   -16.4670     7.5135    21.4200    0.00001
      69    2.2667      -    1    0     -8.8813    -6.0509   0.110318    10.3254   -16.4790     7.4981    21.5697    0.00001
      70    2.3000      -    1    0     -8.8661    -6.0236   0.110286     9.9999   -16.4360     7.5430    21.3077    0.00009
      71    2.3333      -    1    0     -8.8628    -5.9811   0.110269    10.0078   -16.4896     7.5055    21.2610    0.00004
      72    2.3667      -    1    0     -8.8582    -5.9632   0.110255    10.0177   -16.5124     7.4794    21.3171    0.00002
      73    2.4000      -    1    0     -8.8555    -5.9261   0.110247    10.0252   -16.5589     7.4470    21.3171    0.00003
      74    2.4333      -    1    0     -8.8556    -5.9184   0.110247    10.0378   -16.5695     7.4288    21.3171    0.00001
      75    2.4667      -    1    0     -8.8497    -5.9177   0.110247    10.0566   -16.5703     7.4040    21.5417    0.00001
      76    2.5000      -    1    0     -8.8410    -5.9144   0.110243    10.0708   -16.5735     7.3807    21.5978    0.00001
      77    2.5333      -    1    0     -8.8372    -5.9195   0.110252    10.0867   -16.5671     7.3646    21.5978    0.00000
      78    2.5667      -    1    0     -8.8278    -5.9285   0.110244     9.7644   -16.4799     7.4340    21.6633    0.00018
      79    2.6000      -    1    0     -8.8272    -5.9228   0.110241     9.7649   -16.4876     7.4289    21.7662    0.00000
