# Posiciones articulares (matriz) del UR5 derecho
# Trial JIGSAWS: Needle_Passing_B003  (3238 frames @ 30 Hz)
# El UR5 permanece ESTATICO: en JIGSAWS el trocar y la camara
# estan fijos, de modo que el fulcro es constante y la misma
# pose se repite en todos los frames (se incluye una fila por
# frame para alinear con los archivos de PSM).
# Fulcro: [0.110112, -0.04358, 0.422241] m
# Distancia al trocar: 0.15 m
# Base del UR5: [0.472911, -0.421284, 0.0] m
# IK del UR5: OK (0.0008 mm)
#  frame      t(s)     q1(deg)    q2(deg)    q3(deg)    q4(deg)    q5(deg)    q6(deg)
       1    0.0000      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
       2    0.0333      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
       3    0.0667      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
       4    0.1000      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
       5    0.1333      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
       6    0.1667      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
       7    0.2000      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
       8    0.2333      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
       9    0.2667      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
      10    0.3000      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
      11    0.3333      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
      12    0.3667      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
      13    0.4000      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
      14    0.4333      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
      15    0.4667      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
      16    0.5000      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
      17    0.5333      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
      18    0.5667      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
      19    0.6000      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
      20    0.6333      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
      21    0.6667      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
      22    0.7000      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
      23    0.7333      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
      24    0.7667      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
      25    0.8000      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
      26    0.8333      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
      27    0.8667      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
      28    0.9000      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
      29    0.9333      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
      30    0.9667      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
      31    1.0000      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
      32    1.0333      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
      33    1.0667      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
      34    1.1000      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
      35    1.1333      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
      36    1.1667      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
      37    1.2000      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
      38    1.2333      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
      39    1.2667      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
      40    1.3000      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
      41    1.3333      7.6959   -86.3955   -85.8200   -75.4663   123.0387    51.8673
