# Posiciones articulares (matriz) del UR5 derecho
# Trial JIGSAWS: Needle_Passing_B001  (3438 frames @ 30 Hz)
# La BASE del UR5 es fija (decision de montaje, no se mueve
# el robot fisico de sitio). La CONFIGURACION ARTICULAR si
# cambia en cada frame: se recalcula para que el trocar
# (tubo rigido) siga la orientacion instantanea del shaft
# del PSM, igual que hace an5_psm_py/carrier_solver.py.
# Fulcro: [0.122141, -0.078964, 0.408424] m
# Distancia al trocar: 0.15 m
# Base del UR5: [0.397392, -0.598679, 0.0] m
# IK del UR5 por frame: OK 100.00 %, error mediana 0.0000 mm, maximo 0.0000 mm
# IK=0 marca frames sin solucion valida (se conserva la
# ultima configuracion valida, como en los archivos de PSM)
#  frame      t(s)   IK     q1(deg)    q2(deg)    q3(deg)    q4(deg)    q5(deg)    q6(deg)
       1    0.0000    1      4.4072   -86.2769  -109.3580    -7.6600   110.4820    17.4093
       2    0.0333    1      4.3898   -86.3156  -109.4345    -7.3721   110.5289    17.3012
       3    0.0667    1      4.3965   -86.3307  -109.4919    -7.1836   110.5109    17.2271
       4    0.1000    1      4.4194   -86.3572  -109.6133    -6.7955   110.4491    17.0724
       5    0.1333    1      4.4323   -86.3874  -109.7214    -6.4363   110.4142    16.9302
       6    0.1667    1      4.4296   -86.4045  -109.7619    -6.2900   110.4215    16.8734
       7    0.2000    1      4.4128   -86.4320  -109.8016    -6.1253   110.4667    16.8119
       8    0.2333    1      4.3821   -86.4512  -109.7920    -6.1133   110.5496    16.8126
       9    0.2667    1      4.3493   -86.4643  -109.7620    -6.1701   110.6382    16.8406
      10    0.3000    1      4.3333   -86.4706  -109.7468    -6.1996   110.6816    16.8550
      11    0.3333    1      4.2982   -86.4803  -109.7033    -6.3008   110.7764    16.9009
      12    0.3667    1      4.2560   -86.4903  -109.6455    -6.4410   110.8905    16.9634
      13    0.4000    1      4.2338   -86.4974  -109.6198    -6.4982   110.9506    16.9898
      14    0.4333    1      4.1781   -86.5202  -109.5684    -6.5951   111.1017    17.0379
      15    0.4667    1      4.1153   -86.5495  -109.5196    -6.6723   111.2720    17.0797
      16    0.5000    1      4.0548   -86.5850  -109.4914    -6.6800   111.4364    17.0942
      17    0.5333    1      4.0275   -86.6038  -109.4859    -6.6580   111.5107    17.0909
      18    0.5667    1      3.9788   -86.6385  -109.4793    -6.6071   111.6431    17.0805
      19    0.6000    1      3.9450   -86.6619  -109.4726    -6.5792   111.7349    17.0762
      20    0.6333    1      3.9330   -86.6697  -109.4690    -6.5735   111.7677    17.0764
      21    0.6667    1      3.9123   -86.6822  -109.4595    -6.5751   111.8241    17.0811
      22    0.7000    1      3.9048   -86.6830  -109.4462    -6.6105   111.8447    17.0964
      23    0.7333    1      3.9030   -86.6793  -109.4326    -6.6557   111.8495    17.1144
      24    0.7667    1      3.9024   -86.6783  -109.4286    -6.6691   111.8511    17.1197
